N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2021;entrées 2020;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
141823;JEAN RENOIR;HAUTS DE FRANCE;PLACE PAUL ELUARD;59179;Douchy-les-Mines;10343.0;59;59701;Valenciennes (partie française);337884.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;166.0;28.0;416.0;8693.0;12111.0;-28.222277268598795;De 5 à 10 000 entrées;OFFICE CULTUREL MUNICIPAL;;OUI;C;;FIXE;NON;B;156.0;130.0;1.0;57.96011768551814;26.95325269695979;13.321346845374304;1.7652827721477606;59.0;30.50016345210853;50.300211;3.390251;50.300211, 3.390251
192833;CENTRE CULTUREL;HAUTS DE FRANCE;SQUARE DU 8 MAI;59291;Hautmont;14699.0;59;59601;Maubeuge (partie française);112104.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;560.0;24.0;69.0;2106.0;1372.0;53.498542274052475;De 2 à 5 000 entrées;ASSOCIATION CINEMA LE PARADISIO;CINEODE (Défossé);NON;NON;;FIXE;NON;B;44.0;35.0;0.0;18.274111675126903;67.85109983079526;13.874788494077833;0.0;2.0;18.44331641285956;50.257558;3.913904;50.257558, 3.913904
193731;ARC EN CIEL;HAUTS DE FRANCE;9 RUE FERDINAND PIHEN;59295;Hazebrouck;21848.0;59;59401;Hazebrouck;26706.0;05-Unités urbaines de 20 000 à 100 000 hbts;4.0;540.0;32.0;3104.0;67906.0;49999.0;35.81471629432589;De 50 à 80 000 entrées;OCINE;GPCI (Vintrou);OUI;D;JP;FIXE;NON;C;152.0;128.0;83.0;43.052536794386135;45.41234552567845;11.067813450909767;0.4673042290256474;41.0;7.8261814568713906;50.724833;2.533715;50.724833, 2.533715
226125;PATHE;HAUTS DE FRANCE;RUE FRANÇOIS COURTIN;62510;Liévin;30789.0;62;00756;Douai - Lens;509148.0;04-Unités urbaines de 100 000 hbts ou plus;15.0;3391.0;32.0;13999.0;237947.0;171976.0;38.3605851979346;De 200 à 300 000 entrées;PATHE LIEVIN;PATHE GAUMONT;NON;NON;;FIXE;OUI;C;206.0;176.0;151.0;30.590291900686267;55.89037065242789;12.6777322960027;0.8416051508831445;59.0;5.01025503448634;50.42314;2.777484;50.42314, 2.777484
226974;UGC CINE CITE LILLE;HAUTS DE FRANCE;40/48 RUE DE BETHUNE;59350;Lille;235189.0;59;59702;Lille (partie française);1056396.0;04-Unités urbaines de 100 000 hbts ou plus;14.0;2705.0;32.0;12790.0;383546.0;257929.0;48.70216222293732;De 300 à 450 000 entrées;UGC SAS;UGC;NON;NON;;FIXE;OUI;C;201.0;158.0;130.0;40.39618884157947;44.728025877149555;13.401766951623372;1.4740183296476;56.0;23.063064549845418;50.633831;3.063221;50.633831, 3.063221
231270;KINEPOLIS;HAUTS DE FRANCE;ZA DU GRAND BUT;59350;Lille;235189.0;59;59702;Lille (partie française);1056396.0;04-Unités urbaines de 100 000 hbts ou plus;23.0;7358.0;32.0;21013.0;777876.0;529869.0;46.80534245256847;De 700 000 à 1 million d'entrées;KINEPOLIS LE CHATEAU DU CINEMA;KINEPOLIS (Duquenne);NON;NON;;FIXE;OUI;C;262.0;215.0;213.0;26.499508947548666;56.61894729548032;15.446364679403382;1.4351790775676312;85.0;7.9170714351391;50.651256;2.975116;50.651256, 2.975116
276221;THÉÂTRE DE MONTREUIL-SUR-MER;HAUTS DE FRANCE;PLACE DU GÉNÉRAL DE GAULLE;62588;Montreuil;2076.0;62;62201;Montreuil;4970.0;06-autres communes et unités urbaines;1.0;200.0;26.0;239.0;2964.0;2133.0;38.95921237693389;De 2 à 5 000 entrées;COMMUNAUTE D AGGLOMERATION DES DEUX BAIES EN MONTREUILLOIS;;OUI;E;JP;FIXE;NON;C;96.0;73.0;3.0;51.623203831825435;37.8392762107504;4.736562001064396;5.800957956359766;41.0;49.015433741351785;50.461411;1.759867;50.461411, 1.759867
423383;OLYMPIA CINE;HAUTS DE FRANCE;2 RUE D'ORCHIES;59586;Templeuve-en-Pévèle;6282.0;59;59211;Templeuve;10581.0;06-autres communes et unités urbaines;1.0;126.0;32.0;612.0;11355.0;9444.0;20.23506988564168;De 10 à 20 000 entrées;LES TOILES DU NORD;GPCI (Vintrou);OUI;E;JP;FIXE;NON;C;83.0;73.0;12.0;30.00952380952381;58.67619047619047;11.057142857142857;0.2571428571428571;25.0;16.695238095238096;50.526289;3.170036;50.526289, 3.170036
440044;GAUMONT;HAUTS DE FRANCE;AV DES ALPES ET RUE DU DAUPHINE;59606;Valenciennes;43859.0;59;59701;Valenciennes (partie française);337884.0;04-Unités urbaines de 100 000 hbts ou plus;15.0;3710.0;32.0;14181.0;268720.0;197484.0;36.07178303052399;De 200 à 300 000 entrées;GAUMONT;PATHE GAUMONT;NON;NON;;FIXE;OUI;C;295.0;212.0;177.0;32.375139951300866;52.12569388442175;13.980254143732923;1.5189120205444595;94.0;10.53764787861231;50.339838;3.514954;50.339838, 3.514954
457563;LE MELIES;HAUTS DE FRANCE;RUE TRUDAINE;59009;Villeneuve-d'Ascq;63388.0;59;59702;Lille (partie française);1056396.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;167.0;29.0;790.0;24328.0;23971.0;1.4892995703141296;De 20 à 30 000 entrées;ASSOCIATION LA ROSE DES VENTS;;OUI;C;RDJPPR;FIXE;NON;B;177.0;114.0;3.0;58.449240607513985;22.25419664268585;11.470823341326938;7.825739408473222;92.0;70.39168665067945;50.616176;3.139061;50.616176, 3.139061
16573;LA FACADE 1;AUVERGNE / RHONE-ALPES;RUE BLAISE PASCAL;63003;Ambert;6879.0;63;63203;Ambert;7441.0;06-autres communes et unités urbaines;2.0;307.0;32.0;676.0;9803.0;6821.0;43.71792992229878;De 5 à 10 000 entrées;COMMUNE D AMBERT;VEO (Baron);OUI;E;JP;FIXE;NON;C;100.0;84.0;1.0;60.588581518540316;30.22954679223072;8.911124190700411;0.27074749852854624;30.0;10.70041200706298;45.547184;3.745498;45.547184, 3.745498
19945;CINEMA MJC NOVEL;AUVERGNE / RHONE-ALPES;PLACE ANNAPURNA;74010;Annecy;131481.0;74;74601;Annecy;177543.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;174.0;32.0;426.0;8860.0;12782.0;-30.68377405726803;De 5 à 10 000 entrées;MJC POUR TOUS D ANNECY NOVEL;;OUI;B;JP;FIXE;NON;C;100.0;59.0;1.0;54.97478220999541;19.303071985327833;20.678587803759743;5.0435580009170105;48.0;75.83677212287941;45.917017;6.134075;45.917017, 6.134075
19951;ESPACE 300;AUVERGNE / RHONE-ALPES;1 RUE JEAN JAURES;74010;Annecy;131481.0;74;74601;Annecy;177543.0;04-Unités urbaines de 100 000 hbts ou plus;2.0;1188.0;2.0;26.0;2207.0;0.0;;De 2 à 5 000 entrées;BONLIEU SCENE NATIONALE;;NON;NON;;FIXE;NON;C;20.0;1.0;0.0;0.0;0.0;100.0;0.0;1.0;100.0;45.902197;6.128472;45.902197, 6.128472
