commune,x_wgs84,y_wgs84
SAINT-SEVER-DE-SAINTONGE,-0.526885316803244,45.70101714290073
SAINT-JEAN-D'ANGÉLY,-0.509742382856997,45.94079061891952
BUSSAC-FORÊT,-0.368017790595321,45.21191098374495
LOULAY,-0.501680469534236,46.04344123732778
AYTRÉ,-1.111441379649935,46.13739588840414
SAUJON,-0.930419852300245,45.66696039861186
ROCHEFORT,-0.963548062025048,45.94746632056426
SAINTES,-0.617587884909049,45.74784035534782
SAINT-AIGULIN,-0.019192014902316,45.1572333305456
AYTRÉ,-1.128490510325061,46.12763823824456
ANGOULINS,-1.115623560111951,46.10794733842751
LE DOUHET,-0.559544832069206,45.813563943665976
ROCHELLE (LA ),-1.145160124084131,46.15251607781638
SURGÈRES,-0.762032698442091,46.11335235759794
SAINT-SAVINIEN,-0.677700531079588,45.875818750519606
TONNAY-CHARENTE,-0.897867253423509,45.94331739425593
PONS,-0.538959333426995,45.578136206906485
SAINT-HILAIRE-DE-VILLEFRANCHE,-0.534862134197627,45.85016394657493
MONTENDRE,-0.396140374234311,45.28054616702834
LA JARRIE,-1.025928331147898,46.12147060836764
CHÂTELAILLON-PLAGE,-1.090989736597357,46.07853714219941
LE THOU,-0.952083708878203,46.09393484633778
JONZAC,-0.441990254629341,45.43868717338337
VILLENEUVE-LA-COMTESSE,-0.513011750386122,46.09871488224444
SAINT-LAURENT-DE-LA-PRÉE,-1.02863401853472,45.9937452820728
DOMPIERRE-SUR-MER,-1.067185077641479,46.17485152655725
SAINT-SEVER-DE-SAINTONGE,-0.526396353790637,45.70108980651848
ROYAN,-1.016368194834231,45.625725605213496
FONTAINES-D'OZILLAC,-0.384150518489945,45.388325247539576
CLÉRAC,-0.225789042171448,45.19132375598026
CLION,-0.502132202455627,45.47851429383561
ROCHELLE (LA ),-1.140831956307869,46.15542617140306
ROCHELLE (LA ),-1.151998553462912,46.16751331576801
BORDS,-0.798547000664882,45.89442546281429
SAINTES,-0.617587884909049,45.74784035534782
ROCHELLE (LA ),-1.221605394994009,46.15989944340473
TAILLEBOURG,-0.64442655928002,45.83016744694956
