name,lat,lon
Pharmacie Gambetta,46.161892400316674,-1.1482188
Pharmacie Mangon,45.15849410045235,-0.012849999999999999
Pharmacie Moreau Favreau,46.17389380031469,-1.1453385
Pharmacie Aubertot,45.82383610036892,-1.1034491
Pharmacie Retzepter,45.93533920035241,-0.9608182
,45.11841618540819,-0.14853402218302125
Pharmacie de l'Aunis,46.107995000325424,-0.7523878999999999
Pharmacie la Renaissance,45.90458744833527,-0.9622592947273895
Pharmacie Grilleau,46.31315800029124,-0.9924112000000002
Pharmacie Rive Droite,45.74081750038078,-0.6024239999999998
Pharmacie de Vaux-sur-Mer,45.644444100394026,-1.0606762000000003
Pharmacie Angibaud-Rocher,45.35351780043065,-0.6589456999999999
Pharmacie du Marché,46.16203620031665,-1.1498422999999998
Pharmacie des Boiffiers,45.73627690038142,-0.6495032
Pharmacie du Cours Roy Bry,45.93837860035195,-0.9668973
Pharmacie des Arcades,46.16061635202019,-1.1531208524044205
Pharmacie de la Poste,45.67260390039021,-0.9261736000000002
Pharmacie Chretien,45.82642840036854,-1.0970074
Pharmacie Guillou-Buret,46.152439500318216,-1.1267413999999998
Pharmacie Xicluna,45.867469100362555,-0.3197979
Pharmacie Grenier,45.772920800376255,-0.42260159999999997
Pharmacie Avrit-Fayat,45.93925850035181,-0.9692978999999998
Pharmacie du Coureau,45.88701493034006,-1.1966011092271456
Pharmacie Remblier,46.24689040030254,-1.1185973999999999
Pharmacie Grand Village Plage,45.8617378003634,-1.2382363999999997
Pharmacie de Marsais,46.12456550032275,-0.603938
Pharmacie Ferrand,45.79714390037279,-1.1637651
Pharmacie Laroche - Bireau,45.93751470035209,-0.4822197999999999
Pharmacie Bernier,45.94882160035037,-1.0772554
Pharmacie de l'Aunis,46.20221480031002,-1.1032578999999998
Pharmacie du Ponant,45.95468030034948,-0.5312096999999999
Pharmacie Maillet,45.62506730039661,-1.0265483999999998
Pharmacie de Saint-Rogatien,46.14900000031878,-1.0694579
Pharmacie de l'Océan,45.62235000039698,-1.0312717999999998
Pharmacie Bolik,45.37764640042782,-0.570996
Dulaurans,45.84292117036767,-1.207274557057645
Pharmacie des Amériques,46.14845550031885,-1.1543413
Pharmacie La Jarrie,46.12837010032215,-1.0054641
Pharmacie Asselin Scanu,46.16101100031682,-1.1499032
Pharmacie de Didonne,45.61491730039796,-0.9875424
Pharmacie Carnac,45.618452000397504,-1.0122539999999998
Pharmacie Kaouk,46.16266130031656,-1.1522591
Pharmacie des Trois Amis,45.94419990035106,-0.514508
Phamarcie Saint-Jean,46.26966350029868,-0.8734540999999999
,46.117147319614446,-0.9359077928537654
Pharmacie Loiseau,46.24781230030238,-1.5056485
Pharmacie Baudry,45.748224337829605,-0.6605990151218374
Pharmacie Mourier,45.393609100425905,-0.3915302
Pharmacie Sicard,45.62485010039665,-1.0175013
Pharmacie Richetta,46.10653400032568,-0.7515562
Pharmacie Chauviteau-Bouju,46.29600710029419,-0.8068376999999999
Pharmacie des Tournesols,45.584112500402036,-0.8319003
Pharmacie Fort,45.157193600452494,-0.008101799999999998
Pharmacie Faury,45.70296670038605,-0.44012339999999994
Pharmacie des grands prés,46.132887000321396,-1.1206949999999998
Pharmacie Rivet,46.2256632003061,-0.933256
Pharmacie du 14 Juillet,45.936994300352154,-0.9730265999999999
Pharmacie Alard Guimard,45.44459156874451,-0.43467267854184916
Pharmacie Amilien,45.64694354861306,-0.9620119479075758
Pharmacie Defaut,45.63678580039504,-0.6524148
Pharmacie du Bourg,45.245156200442985,-0.2559459
Pharmacie de Saint-Fort,45.462073600417575,-0.7164173
Pharmacie Assiandi,45.847514700365494,-0.5327522
Pharmacie Angibeau-Junié,45.94380324544896,-0.5214374366597834
Pharmacie Lucquiaud,45.97254460034673,-0.23726830000000002
Pharmacie Vassal Lerno,45.74292800038049,-1.1212823999999997
Pharmacie Nappée,46.05561118330007,-0.9307614139370166
Pharmacie FORT,45.62671280803006,-1.0070866723718792
Pharmacie des Côteaux,45.98501069988816,-1.0343911734785858
,46.17073680688263,-1.1252110831079716
Pharmacie Rodier,45.925952300353835,-1.0095679999999998
Pharmacie Texeron,46.106866700325604,-0.7506744
Pharmacie Mutualiste Rochefortaise,45.93900130035187,-0.9675063
Pharmacie Mesnard,45.57450298448831,-0.5577677204070645
