name,lat,lon
Pharmacie Vincent,45.672193500390264,-1.0108019
Pharmacie Barthelemy-Brissard,45.602280900399634,-0.9977628
Pharmacie Rebel,45.91942940035481,-1.3367418
Pharmacie Saint-Pierre,45.56758790040419,-0.6772655
Pharmacie Martin,46.229470200305464,-1.1311539
Pharmacie Centrale,45.60273490039959,-0.9963805999999998
Pharmacie du Minage,46.16271390031654,-1.1494469999999999
Pharmacie Josse,45.55910790040531,-0.9531015999999999
Pharmacie Sallet,45.42171170042253,-0.6368541
Pharmacie ANTEUR,46.047473200335084,-0.5106559
