Appellation officielle,Dénomination principale,Secteur Public/Privé,Code postal,lat,lon
Ecole primaire La Ronde,ECOLE PRIMAIRE PUBLIQUE,Public,17170,46.29916527277165,-0.8025999556039093
Ecole primaire intercommunale de Saint Sever-Rouffiac,ECOLE PRIMAIRE PUBLIQUE,Public,17800,45.69663848210709,-0.518729987705538
Ecole élémentaire Corme Royal,ECOLE ELEMENTAIRE PUBLIQUE,Public,17600,45.74474068773006,-0.8137103271567516
Ecole élémentaire Maurice Renard Dolus d'Oléron,ECOLE ELEMENTAIRE PUBLIQUE,Public,17550,45.91054948202735,-1.260339739970874
Ecole élémentaire du Trait d'Union St Georges d'Oléron,ECOLE ELEMENTAIRE PUBLIQUE,Public,17190,45.976682936043005,-1.3397004569685351
Ecole maternelle Françoise Dolto Nieul sur Mer,ECOLE MATERNELLE PUBLIQUE,Public,17137,46.20637644205856,-1.1715902387796338
Ecole maternelle Trait d'Union St Georges d'Oléron,ECOLE MATERNELLE PUBLIQUE,Public,17190,45.97751945550043,-1.3399695492174855
Ecole primaire Mortagne sur Gironde,ECOLE PRIMAIRE PUBLIQUE,Public,17120,45.481105423000955,-0.7870306314829134
Lycée agricole privé de Bois,LYCEE AGRICOLE PRIVE,Privé,17240,45.46397740643436,-0.5999329359811533
Maison Familiale Rurale de Matha,MAISON FAMILIALE RURALE,Privé,17160,45.86708692949577,-0.32238675791677834
Ecole maternelle Charron,ECOLE MATERNELLE PUBLIQUE,Public,17230,46.29595140137343,-1.1048301321834704
Ecole maternelle Courçon,ECOLE MATERNELLE PUBLIQUE,Public,17170,46.24239360912116,-0.8076401380926834
Ecole maternelle Marsilly,ECOLE MATERNELLE PUBLIQUE,Public,17137,46.22904150750499,-1.135069524571296
Ecole primaire Echillais,ECOLE PRIMAIRE PUBLIQUE,Public,17620,45.89703217894121,-0.9535997821731845
Base aérienne école Rochefort / BA 721,BASE AERIENNE ECOLE,Public,17300,45.9366920028716,-0.9617102390158564
Section d'enseignement professionnel du lycée Marcel Dassault,SECTION ENSEIGNT PROFESSIONNEL,Public,17300,45.94731904156512,-0.9583495541185802
Ecole maternelle La Jarne,ECOLE MATERNELLE PUBLIQUE,Public,17220,46.12980783614972,-1.0695802758032649
Lycée professionnel agricole de Surgeres - Ecole Nationale Supérieure de Meunerie et des Industries Céréalières,LYCEE PROFESSIONNEL AGRICOLE,Public,17700,46.10791900061006,-0.7704794486312093
ECOLE MATILE,ECOLE TECHNIQUE PRIVEE,Privé,17000,46.170750001586455,-1.174349431985565
Ecole primaire privée hors contrat Montessori Le Village,ECOLE PRIMAIRE PRIVEE HORS CONTRAT,Privé,17110,45.61959341360575,-0.9663804087962058
Lycée privé Ecole démocratique Respire,ECOLE 2D DEGRE GENERAL PRIVEE,Privé,17220,46.12794469344673,-1.0065504686866344
Ecole élémentaire privée hors contrat Parle-moi,ECOLE ELEMENTAIRE PRIVEE HORS CONTRAT,Privé,17220,46.16824599256113,-1.0221232881163225
Section d'enseignement général et professionnel adapté du Collège Jean Hay,SEGPA,Public,17320,45.82753206063742,-1.1059466556838236
Lycée général privé hors contrat Le Village St Georges de Didonne,ECOLE 2D DEGRE GENERAL PRIVEE,Privé,17110,45.61948340765489,-0.966457328102412
